survey_organization,party_affiliation,start_date,end_date,survey_method,survey_question,survey_population,survey_sample,approve_percent,disapprove_percent,undecided_percent,margin_of_error
Gallup,None,2017-02-11,2017-02-13,Live Phone,,Adults,1500,40,54,,3
Gallup,None,2017-02-12,2017-02-14,Live Phone,,Adults,1500,40,53,,3
Rasmussen,None,2017-02-12,2017-02-14,Automated Phone/Internet,,Likely Voters,1500,53,47,,2.5
YouGov/Economist,None,2017-02-12,2017-02-14,Internet,,Adults,1500,43,47,10,3.1
YouGov/Economist,None,2017-02-12,2017-02-14,Internet,,Adults (Democrats),595,14,79,8,
YouGov/Economist,None,2017-02-12,2017-02-14,Internet,,Adults (Republicans),333,86,11,2,
YouGov/Economist,None,2017-02-12,2017-02-14,Internet,,Adults (Independents),572,39,43,18,
Gallup,None,2017-02-13,2017-02-15,Live Phone,,Adults,1500,40,54,,3
NBC/SurveyMonkey,None,2017-02-13,2017-02-19,Internet,Do you approve or disapprove of the way Donald Trump is handling his job as president?,Adults,11512,43,54,2,1.4
Rasmussen,None,2017-02-13,2017-02-15,Automated Phone/Internet,,Likely Voters,1500,55,45,,2.5
SurveyMonkey,None,2017-02-13,2017-02-17,Internet,,Adults,9163,45,53,2,
SurveyMonkey,None,2017-02-13,2017-02-17,Internet,,Adults (Democrats),2959,9,90,1,
SurveyMonkey,None,2017-02-13,2017-02-17,Internet,,Adults (Republicans),2546,91,9,0,
SurveyMonkey,None,2017-02-13,2017-02-17,Internet,,Adults (Independents),3457,43,56,0,
Gallup,None,2017-02-14,2017-02-16,Live Phone,,Adults,1500,38,56,,3
Rasmussen,None,2017-02-14,2017-02-16,Automated Phone/Internet,,Likely Voters,1500,55,45,,2.5
Gallup,None,2017-02-15,2017-02-17,Live Phone,,Adults,1500,40,55,,3
McClatchy/Marist,None,2017-02-15,2017-02-19,Live Phone,Do you approve or disapprove of the job Donald Trump  is doing as president?,Registered Voters,864,41,49,9,3.3
McClatchy/Marist,None,2017-02-15,2017-02-19,Live Phone,Do you approve or disapprove of the job Donald Trump  is doing as president?,Registered Voters (Democrats),,11,81,8,
